N п/п,Предприятие,Таб №,ФИО,Дата рождения,Подразделение,Статус,Должность,Код функции,Наименование функции,Дата приема,Дата увольнения,Статья КЗОТ,причина,причина уточн.,Кратко,Название ставки,Категория,Поощрение От,Поощрение До,Уточнение,Основание
  24,Группа ГАЗ,1,а,29772,Техническое обслуживание и ремонт,Постоянно,Руководитель направления,102.05,Механика - служба главного механика,42604,72686,,,,,Администрация,руководители,42937,72686,,За высокие результаты работы
  25,Группа ГАЗ,1,а,28502,,,,,,43252,43424,п 5 ч 1 ст 77 ТК РФ,"в связи с переводом работника по его просьбе на работу к другому работодателю, пункт 5 части первой статьи 77 Трудового кодекса Российской Федерации",с последующим приемом в рамках Холдинга/ дружественного предприятия,Перевод_внутри_Холдинга,,,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
  26,Группа ГАЗ,1,а,33256,,,,,,43252,72686,,,,,,,42983,72686,,За высокие результаты работы и вклад в развитие компании
  27,Группа ГАЗ,1,а,32413,,,,,,43252,72686,,,,,,,42983,72686,,За высокие результаты работы и вклад в развитие компании
  28,Группа ГАЗ,1,а,24861,,,,,,43252,72686,,,,,,,42983,72686,,За высокие результаты работы и вклад в развитие компании
  29,Группа ГАЗ,1,а,30902,,,,,,43252,72686,,,,,,,42983,72686,,За высокие результаты работы и вклад в развитие компании
  30,Группа ГАЗ,1,а,22474,,,,,,43252,43448,п 1ч 1 ст 77 ТК РФ,"по соглашению сторон, пункт 1 части первой статьи 77 Трудового кодекса Российской Федерации",по инициативе Работодателя,Текучесть-инициатива_Компании,,,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
  31,Группа ГАЗ,1,а,30012,,,,,,43252,72686,,,,,,,42928,72686,,За высокие результаты работы
  32,Группа ГАЗ,1,а,29447,Эксплуатация ИТ решений и связи,Постоянно,Руководитель направления,120.01,Информационные технологии и связь – общее руководство,41113,43139,п 5 ч 1 ст 77 ТК РФ,"в связи с переводом работника по его просьбе на работу к другому работодателю, пункт 5 части первой статьи 77 Трудового кодекса Российской Федерации",с последующим приемом в рамках Холдинга/ дружественного предприятия,Перевод_внутри_Холдинга,Администрация,руководители,42937,72686,,За высокие результаты работы
  33,Группа ГАЗ,1,а,25813,"ООО ""СИБУР""",Постоянно,Председатель Правления,110.01,Общее руководство,42454,72686,,,,,Администрация,руководители,42979,72686,,"За большой личный вклад в развитие топливно-энергетического комплекса, многолетний добросовестный труд и в связи с профессиональным праздником - Днем работников нефтяной и газовой промышленности"
  34,Группа ГАЗ,1,а,28728,,,,,,43252,72686,,,,,,,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
  35,Группа ГАЗ,1,а,25060,,,,,,43252,72686,,,,,,,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
  36,Группа ГАЗ,1,а,31367,Операционная эффективность,Временно,Руководитель направления,101.06,Мониторинг эффективности производства,42122,72686,,,,,Администрация,руководители,42937,72686,,За высокие результаты работы
  37,Группа ГАЗ,1,а,31378,,,,,,43252,43391,п 1ч 1 ст 77 ТК РФ,"по соглашению сторон, пункт 1 части первой статьи 77 Трудового кодекса Российской Федерации",по инициативе Работника,Текучесть-добровольная,,,42983,72686,,За высокие результаты работы и вклад в развитие компании
  38,Группа ГАЗ,1,а,34133,,,,,,43252,72686,,,,,,,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
  39,Группа ГАЗ,1,а,31936,,,,,,43252,43463,п 3 ч 1 ст 77 ТК РФ,"по инициативе работника, пункт 3 части первой статьи 77 Трудового кодекса Российской Федерации",по инициативе Работника,Текучесть-добровольная,,,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
  40,Группа ГАЗ,1,а,31367,,,,,,43252,72686,,,,,,,42983,72686,,За высокие результаты работы и вклад в развитие компании
  41,Группа ГАЗ,1,а,27923,Управление земельно-имущественными активами,Постоянно,Главный эксперт,119.03,Управление имуществом,41736,72686,,,,,Администрация,специалисты,42937,72686,,За высокие результаты работы
  42,Группа ГАЗ,1,а,31542,Корпоративная отчетность,Временно,Руководитель направления,111.08,Корпоративная отчетность,42926,72686,,,,,Администрация,руководители,42937,72686,,За высокие результаты работы
  43,Группа ГАЗ,1,а,21988,,,,,,43252,43465,п 1ч 1 ст 77 ТК РФ,"по соглашению сторон, пункт 1 части первой статьи 77 Трудового кодекса Российской Федерации",в связи с уходом на пенсию,Прочее,,,42928,72686,,За высокие результаты работы
  44,Группа ГАЗ,1,а,28305,,,,,,43252,43343,п 3 ч 1 ст 77 ТК РФ,"по инициативе работника, пункт 3 части первой статьи 77 Трудового кодекса Российской Федерации",по инициативе Работника,Текучесть-добровольная,,,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
  45,Группа ГАЗ,1,а,31839,,,,,,43252,43328,п 1ч 1 ст 77 ТК РФ,"по соглашению сторон, пункт 1 части первой статьи 77 Трудового кодекса Российской Федерации",по инициативе Работодателя,Текучесть-инициатива_Компании,,,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
  46,Группа ГАЗ,1,а,28330,Экспортные отгрузки,Постоянно,Менеджер,116.12,Внешнеэкономическая деятельность,39052,72686,,,,,Администрация,руководители,42937,72686,,За высокие результаты работы
  47,Группа ГАЗ,1,а,32468,Налоговая политика,Постоянно,Главный эксперт,111.16,Налоговая политика,41785,72686,,,,,Администрация,специалисты,42937,72686,,За высокие результаты работы
  48,Группа ГАЗ,1,а,31666,Стратегическое развитие,Постоянно,Главный эксперт,123.01,Развитие бизнеса дирекций,40003,72686,,,,,Администрация,специалисты,42937,72686,,За высокие результаты работы
  49,Группа ГАЗ,1,а,30807,,,,,,43252,72686,,,,,,,42928,72686,,За высокие результаты работы
  50,Группа ГАЗ,1,а,31917,,,,,,43367,72686,,,,,,,43308,72686,,За высокие результаты работы
  51,Группа ГАЗ,1,а,26371,Члены Правления >,Постоянно,Член Правления - Исполнительный директор,110.01,Общее руководство,39052,72686,,,,,Администрация,руководители,42937,72686,,За высокие результаты работы
  52,Группа ГАЗ,1,а,30399,Внешнеэкономическая деятельность,Постоянно,Руководитель направления,116.12,Внешнеэкономическая деятельность,39785,72686,,,,,Администрация,руководители,42937,72686,,За высокие результаты работы
  53,Группа ГАЗ,1,а,32714,,,,,,43252,72686,,,,,,,42983,72686,,За высокие результаты работы и вклад в развитие компании
  54,Группа ГАЗ,1,а,33058,,,,,,43252,72686,,,,,,,42983,72686,,За высокие результаты работы и вклад в развитие компании
  55,Группа ГАЗ,1,а,31442,,,,,,43252,72686,,,,,,,42983,72686,,За высокие результаты работы и вклад в развитие компании
  56,Группа ГАЗ,1,а,27649,,,,,,43252,43269,п 1ч 1 ст 77 ТК РФ,"по соглашению сторон, пункт 1 части первой статьи 77 Трудового кодекса Российской Федерации",по инициативе Работодателя,Текучесть-инициатива_Компании,,,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
  57,Группа ГАЗ,1,а,32225,,,,,,43252,72686,,,,,,,42983,72686,,За высокие результаты работы и вклад в развитие компании
  58,Группа ГАЗ,1,а,32772,,,,,,43252,72686,,,,,,,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
  59,Группа ГАЗ,1,а,28593,,,,,,43252,72686,,,,,,,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
  60,Группа ГАЗ,1,а,30689,Развитие функции обеспечения,Постоянно,Менеджер,105.01,Обеспечение производства - общее руководство,41913,72686,,,,,Оргпроекты,руководители,42937,72686,,За высокие результаты работы
  61,Группа ГАЗ,1,а,33392,,,,,,43252,72686,,,,,,,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
  62,Группа ГАЗ,1,а,32867,,,,,,43252,72686,,,,,,,42983,72686,,За высокие результаты работы и вклад в развитие компании
  63,Группа ГАЗ,1,а,22685,Тепловодогазоснабжение,Постоянно,Главный эксперт,102.03,Энергетика - служба главного энергетика,40932,72686,,,,,Администрация,специалисты,42937,72686,,За высокие результаты работы
  64,Группа ГАЗ,1,а,26025,,,,,,43252,72686,,,,,,,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
  65,Группа ГАЗ,1,а,29765,,,,,,43252,72686,,,,,,,42983,72686,,За высокие результаты работы и вклад в развитие компании
  66,Группа ГАЗ,1,а,27790,,,,,,43252,72686,,,,,,,42983,72686,,За высокие результаты работы и вклад в развитие компании
  67,Группа ГАЗ,1,а,27903,Обособленное структурное подразделение в г. Тюмени,Внутренний совместитель,Менеджер,109.16,Бизнес-партнеры функций и дирекций,42240,72686,,,,,Администрация,руководители,42937,72686,,За высокие результаты работы
  68,Группа ГАЗ,1,а,27397,Экономика и финансы ДБП и сырьевого бизнеса,Постоянно,Старший менеджер,111.07,ФЭС дирекций,42278,43339,п 5 ч 1 ст 77 ТК РФ,"в связи с переводом работника по его просьбе на работу к другому работодателю, пункт 5 части первой статьи 77 Трудового кодекса Российской Федерации",с последующим приемом в рамках Холдинга/ дружественного предприятия,Перевод_внутри_Холдинга,Администрация,руководители,42937,72686,,За высокие результаты работы
  69,Группа ГАЗ,1,а,24083,,,,,,43252,72686,,,,,,,42983,72686,,За высокие результаты работы и вклад в развитие компании
  70,Группа ГАЗ,1,а,27745,Организация транспортировок готовой продукции,Постоянно,Старший менеджер,104.04,Обеспечение логистическими услугами,41656,72686,,,,,Администрация,руководители,42937,72686,,За высокие результаты работы
  71,Кашкай,1,а,24258,Управление проектами,Постоянно,Директор,124.01,Внутренний аудит,42506,72686,,,,,Администрация,руководители,42937,72686,,За высокие результаты работы
  72,Кашкай,1,а,24614,,,,,,43252,72686,,,,,,,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
  73,Кашкай,1,а,33859,,,,,,43252,72686,,,,,,,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
  74,Кашкай,1,а,20791,,,,,,43252,72686,,,,,,,42928,72686,,За высокие результаты работы
  75,Кашкай,1,а,23025,,,,,,43252,72686,,,,,,,42983,72686,,За высокие результаты работы и вклад в развитие компании
  76,Кашкай,1,а,30564,,,,,,43252,72686,,,,,,,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
  77,Кашкай,1,а,29672,Диспетчеризация вагонного парка и грузовая работа,Постоянно,Старший менеджер,104.04,Обеспечение логистическими услугами,41843,43385,п 5 ч 1 ст 77 ТК РФ,"в связи с переводом работника по его просьбе на работу к другому работодателю, пункт 5 части первой статьи 77 Трудового кодекса Российской Федерации",по инициативе Работника,Текучесть-добровольная,Администрация,руководители,42937,72686,,За высокие результаты работы
  78,Кашкай,1,а,25305,Общекорпоративные сервисы и управление процессами,Постоянно,Руководитель направления,116.15,"Управление внутренними сервисами, аналитика и отчетность",39066,72686,,,,,Администрация,руководители,42937,72686,,За высокие результаты работы
  79,Кашкай,1,а,31202,Закупка тепловой энергии,Постоянно,Главный эксперт,136.01,Энергоснабжение,40931,72686,,,,,Администрация,специалисты,42937,72686,,За высокие результаты работы
  80,Кашкай,1,а,24573,,,,,,43252,43350,п 3 ч 1 ст 77 ТК РФ,"по инициативе работника, пункт 3 части первой статьи 77 Трудового кодекса Российской Федерации",по инициативе Работника,Текучесть-добровольная,,,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
  81,Кашкай,1,а,29616,,,,,,43252,72686,,,,,,,42983,72686,,За высокие результаты работы и вклад в развитие компании
  82,Кашкай,1,а,26957,,,,,,43252,72686,,,,,,,42983,72686,,За высокие результаты работы и вклад в развитие компании
1737,Террамонт,1,а,27297,Отдел договорной работы и социальных отношений,Постоянно,Начальник отдела,109.11,Корпоративная культура и социальные отношения,42324,43259,,,,,Администрация,руководители,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
1738,Террамонт,1,а,33567,Отдел документационного сопровождения доходных договоров,Постоянно,Эксперт,116.06,Общекорпоративные сервисы,41519,43259,,,,,Администрация,специалисты,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
1739,Террамонт,1,а,29588,Управление по тендерным процедурам,Постоянно,Начальник управления,112.01,Конкурентные процедуры,42324,43259,,,,,Администрация,руководители,42983,72686,,За высокие результаты работы и вклад в развитие компании
1740,Террамонт,1,а,21976,Отдел операционной деятельности по проведению конкурентных процедур,Временно,Ведущий специалист,112.01,Конкурентные процедуры,42226,43259,,,,,Администрация,специалисты,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
1741,Террамонт,1,а,28841,Управление миграции,Постоянно,Начальник управления,111.08,Корпоративная отчетность,41583,43259,,,,,Администрация,руководители,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
1742,Террамонт,1,а,30447,Отдел управленческой отчетности,Постоянно,Ведущий специалист,111.08,Корпоративная отчетность,41656,43259,,,,,Администрация,специалисты,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
1743,Террамонт,1,а,29605,Отдел подготовки отчетности,Постоянно,Эксперт,111.05,Бухгалтерия,41487,43259,,,,,Администрация,специалисты,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
1744,Террамонт,1,а,29009,Управление расчетов с персоналом по оплате труда и прочим операциям,Постоянно,Эксперт,109.19,Расчет заработной платы,40651,43259,,,,,Администрация,специалисты,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
1745,Террамонт,1,а,31172,Отдел согласования договоров и сопровождения документарных операций,Постоянно,Начальник отдела,111.04,Казначейство,41583,43259,,,,,Администрация,руководители,42928,72686,,За высокие результаты работы
1746,Террамонт,1,а,32490,Отдел подбора персонала,Постоянно,Эксперт по подбору персонала,109.03,Подбор персонала,42297,43259,,,,,Администрация,специалисты,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
1747,Террамонт,1,а,32268,Отдел кадрового администрирования,Постоянно,Ведущий специалист,109.02,Кадровое администрирование (вкл. военный стол),42354,43259,,,,,Администрация,специалисты,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
1748,Террамонт,1,а,30733,Отдел учета закупок,Постоянно,Эксперт,111.05,Бухгалтерия,41260,43196,п 5 ч 1 ст 77 ТК РФ,"в связи с переводом работника по его просьбе на работу к другому работодателю, пункт 5 части первой статьи 77 Трудового кодекса Российской Федерации",с последующим приемом в рамках Холдинга/ дружественного предприятия,Перевод_внутри_Холдинга,Администрация,специалисты,42983,72686,,За высокие результаты работы и вклад в развитие компании
1749,Террамонт,1,а,34327,Отдел согласования договоров и сопровождения документарных операций,Постоянно,Ведущий специалист,111.04,Казначейство,42592,43259,,,,,Администрация,специалисты,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
1750,Террамонт,1,а,30321,Отдел методологической поддержки проведения конкурентных процедур,Постоянно,Эксперт,112.01,Конкурентные процедуры,40658,43259,,,,,Администрация,специалисты,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
1751,Террамонт,1,а,31553,Управление расчетов с персоналом по оплате труда и прочим операциям,Постоянно,Эксперт,109.19,Расчет заработной платы,40491,43259,,,,,Администрация,специалисты,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
1752,Террамонт,1,а,31545,Отдел внутренних контролей,Постоянно,Начальник отдела,111.05,Бухгалтерия,42439,43259,,,,,Администрация,руководители,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
1753,Террамонт,1,а,32684,Отдел подготовки налоговой отчетности,Постоянно,Эксперт,111.05,Бухгалтерия,41129,43259,,,,,Администрация,специалисты,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
1754,Террамонт,1,а,33384,Обособленное подразделение Москва,Временно,Эксперт,112.01,Конкурентные процедуры,42419,43179,п 3 ч 1 ст 77 ТК РФ,"по инициативе работника, пункт 3 части первой статьи 77 Трудового кодекса Российской Федерации",по инициативе Работника,Текучесть-добровольная,Администрация,специалисты,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
1755,Террамонт,1,а,28502,Отдел расчетов с бюджетом,Постоянно,Эксперт,111.05,Бухгалтерия,41487,43259,,,,,Администрация,специалисты,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
1756,Террамонт,1,а,33256,Отдел документационного сопровождения доходных договоров,Постоянно,Эксперт,116.06,Общекорпоративные сервисы,41733,43259,,,,,Администрация,специалисты,42983,72686,,За высокие результаты работы и вклад в развитие компании
1757,Террамонт,1,а,32413,Отдел документационного сопровождения доходных договоров,Постоянно,Начальник отдела,116.06,Общекорпоративные сервисы,41207,43259,,,,,Администрация,руководители,42983,72686,,За высокие результаты работы и вклад в развитие компании
1758,Террамонт,1,а,24861,Отдел учета продаж,Постоянно,Эксперт,111.05,Бухгалтерия,41365,43259,,,,,Администрация,специалисты,42983,72686,,За высокие результаты работы и вклад в развитие компании
1759,Террамонт,1,а,30902,Отдел подготовки налоговой отчетности,Постоянно,Эксперт,111.05,Бухгалтерия,41977,43259,,,,,Администрация,специалисты,42983,72686,,За высокие результаты работы и вклад в развитие компании
1760,Террамонт,1,а,22474,Секретариат,Постоянно,Секретарь-референт,135.01,Административная поддержка руководителей,40497,43259,,,,,Администрация,служащие,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
1761,Террамонт,1,а,30012,"Проектный офис ""Внедрение ERP системы на базе SAP""",Временно,Руководитель проектного офиса,127.01,Организационные проекты,42767,43259,,,,,Оргпроекты,руководители,42928,72686,,За высокие результаты работы
1762,Террамонт,1,а,31602,"Проектный офис ""Внедрение ERP системы на базе SAP""",Временно,Главный эксперт,127.01,Организационные проекты,42297,43020,п 1ч 1 ст 77 ТК РФ,"по соглашению сторон, пункт 1 части первой статьи 77 Трудового кодекса Российской Федерации",по инициативе Работодателя,Текучесть-инициатива_Компании,Оргпроекты,специалисты,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
1763,Террамонт,1,а,28728,Обособленное подразделение Москва,Постоянно,Эксперт,111.05,Бухгалтерия,41365,43259,,,,,Администрация,специалисты,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
1764,Террамонт,1,а,25060,Отдел подготовки отчетности,Постоянно,Ведущий специалист,111.05,Бухгалтерия,41099,43259,,,,,Администрация,специалисты,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
1765,Террамонт,1,а,31378,Управление расчетов с персоналом по оплате труда и прочим операциям,Постоянно,Эксперт,109.19,Расчет заработной платы,42160,43259,,,,,Администрация,специалисты,42983,72686,,За высокие результаты работы и вклад в развитие компании
1766,Террамонт,1,а,32056,Финансово-экономический отдел,Постоянно,Эксперт,111.06,"Планирование, анализ и отчетность  на предприятиях",42107,43035,п 3 ч 1 ст 77 ТК РФ,"по инициативе работника, пункт 3 части первой статьи 77 Трудового кодекса Российской Федерации",по инициативе Работника,Текучесть-добровольная,Администрация,специалисты,42983,72686,,За высокие результаты работы и вклад в развитие компании
1767,Террамонт,1,а,34227,"Управление по развитию персонала, корпоративной культуре и социальным отношениям",Постоянно,Ведущий специалист,109.09,Обучение и развитие персонала,42185,43259,,,,,Администрация,специалисты,42983,72686,,За высокие результаты работы и вклад в развитие компании
1768,Террамонт,1,а,34133,Отдел обучения и развития,Постоянно,Ведущий специалист,109.09,Обучение и развитие персонала,42289,43259,,,,,Администрация,специалисты,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
1769,Террамонт,1,а,31936,Управление по трудовым отношениям,Постоянно,Ведущий специалист,109.02,Кадровое администрирование (вкл. военный стол),42104,43259,,,,,Администрация,специалисты,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
1770,Террамонт,1,а,31367,Отдел управленческой отчетности,Постоянно,Эксперт,207.09,Финансовый контроль капитальных вложений и консолидированная отчетность проектов,41043,43259,,,,,Администрация,специалисты,42983,72686,,За высокие результаты работы и вклад в развитие компании
1771,Террамонт,1,а,21988,Директор объединенного центра обслуживания персонала,Временно,Директор объединенного центра обслуживания персонала,109.01,Управление персоналом - общее руководство,42736,43259,,,,,Администрация,руководители,42928,72686,,За высокие результаты работы
1772,Террамонт,1,а,28305,Обособленное подразделение Ханты-Мансийск,Постоянно,Начальник отдела,111.05,Бухгалтерия,42278,43259,,,,,Администрация,руководители,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
